"Team","Year","Position_Group","Position_Group_Spending","Wins"
"Detroit Lions",2022,"TE",2003135,9
"Detroit Lions",2022,"WR",12194517,9
"Detroit Lions",2023,"CB",7344178,12
"Detroit Lions",2023,"DL",22879952,12
"Detroit Lions",2023,"EDGE",10424940,12
"Detroit Lions",2023,"MLB",7027820,12
"Detroit Lions",2023,"OL",50639405,12
"Detroit Lions",2023,"QB",34141293,12
"Detroit Lions",2023,"RB",6971323,12
"Detroit Lions",2023,"S",14659231,12
"Detroit Lions",2023,"ST",2502778,12
"Detroit Lions",2023,"TE",3591727,12
"Detroit Lions",2023,"WR",13148520,12
"Detroit Lions",2024,"CB",14709047,11
"Detroit Lions",2024,"DL",19103768,11
"Detroit Lions",2024,"EDGE",4768689,11
"Detroit Lions",2024,"MLB",1571666,11
"Detroit Lions",2024,"OL",46144181,11
"Detroit Lions",2024,"QB",28510778,11
"Detroit Lions",2024,"RB",11199144,11
"Detroit Lions",2024,"S",4789503,11
"Detroit Lions",2024,"ST",5665333,11
"Detroit Lions",2024,"TE",4407859,11
"Detroit Lions",2024,"WR",11266285,11
"Green Bay Packers",2021,"CB",11445719,13
"Green Bay Packers",2021,"DL",13807191,13
"Green Bay Packers",2021,"EDGE",29199016,13
"Green Bay Packers",2021,"MLB",3814866,13
"Green Bay Packers",2021,"OL",23693090,13
"Green Bay Packers",2021,"QB",29887989,13
"Green Bay Packers",2021,"RB",6032698,13
"Green Bay Packers",2021,"S",11113501,13
"Green Bay Packers",2021,"ST",4546666,13
"Green Bay Packers",2021,"TE",4711779,13
"Green Bay Packers",2021,"WR",24240251,13
"Green Bay Packers",2022,"CB",12977853,8
"Green Bay Packers",2022,"DL",15697446,8
"Green Bay Packers",2022,"EDGE",14212431,8
"Green Bay Packers",2022,"MLB",9241828,8
"Green Bay Packers",2022,"OL",29951801,8
"Green Bay Packers",2022,"QB",31910874,8
"Green Bay Packers",2022,"RB",7525863,8
"Green Bay Packers",2022,"S",13449569,8
"Green Bay Packers",2022,"ST",7065000,8
"Green Bay Packers",2022,"TE",9085308,8
"Green Bay Packers",2022,"WR",11415437,8
"Green Bay Packers",2023,"CB",15816650,9
"Green Bay Packers",2023,"DL",18583115,9
"Green Bay Packers",2023,"EDGE",23379775,9
"Green Bay Packers",2023,"MLB",11193989,9
"Green Bay Packers",2023,"OL",17995655,9
"Green Bay Packers",2023,"QB",5240316,9
"Green Bay Packers",2023,"RB",10576765,9
"Green Bay Packers",2023,"S",4477534,9
"Green Bay Packers",2023,"ST",2719194,9
"Green Bay Packers",2023,"TE",4639806,9
"Green Bay Packers",2023,"WR",6067114,9
"Green Bay Packers",2024,"CB",35225095,9
"Green Bay Packers",2024,"DL",52195330,9
